Unnamed: 0,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
1,0,0.289122,58,0,0.237421,2856.0,5,0,4,0,0.0
2,0,0.102706,50,0,0.468387,3849.0,6,0,2,0,0.0
3,0,0.111065,61,0,0.121582,3047.0,11,0,1,0,1.0
4,0,0.270176,73,98,1.041566,5368.0,11,0,1,0,
5,0,0.182024,48,1,0.296987,12806.0,9,0,1,0,0.0
6,0,0.557984,48,2,0.362561,,12,0,0,0,
7,0,3.663243,74,0,0.91302,10945.0,11,0,2,0,1.0
8,0,0.645454,62,0,0.68033,,7,0,0,0,0.0
9,0,0.132582,45,0,5.095783,2494.0,7,0,3,2,0.0
10,0,0.390266,59,0,5.078326,9460.0,5,0,0,0,0.0
11,0,0.64414,45,0,3.487848,10275.0,8,0,1,0,1.0
12,0,0.158384,45,0,6.797658,9712.0,7,0,1,1,2.0
13,0,0.357501,55,0,4.188274,1715.0,8,0,1,0,0.0
14,0,0.171077,25,5,0.084595,3385.0,4,0,2,0,0.0
15,0,10.769486,27,0,1.17814,,1,0,0,0,2.0
16,1,0.383216,44,0,0.890298,5080.0,9,0,1,0,1.0
17,0,0.368429,37,0,0.844151,2081.0,4,0,3,0,0.0
18,0,0.052281,56,0,0.341048,7091.0,5,0,0,0,0.0
19,0,0.136812,39,0,0.07448,2774.0,7,0,1,2,2.0
20,0,5.364884,32,0,0.313759,20653.0,8,0,2,0,1.0
21,0,0.235773,72,0,0.270129,16913.0,10,0,1,0,2.0
22,0,0.649621,48,0,1.397907,7968.0,7,0,0,0,0.0
23,0,0.57818,52,0,0.431416,14600.0,7,0,1,0,0.0
24,1,0.238135,32,0,2.69206,,8,0,0,0,0.0
25,0,0.121108,44,0,5.143795,9066.0,8,0,2,98,0.0
26,0,0.654016,53,0,0.226335,16029.0,6,0,0,0,0.0
27,0,0.627685,35,0,0.170657,,6,0,2,0,0.0
28,0,0.189974,57,0,1.092137,,7,0,0,0,1.0
29,0,0.12017,43,0,1.255996,,7,0,1,0,0.0
30,0,0.233969,47,0,0.692924,4598.0,11,0,0,0,0.0
31,0,0.083788,43,0,0.150859,9497.0,3,0,1,0,0.0
32,0,0.195186,77,0,0.909853,,9,0,0,0,0.0
33,0,0.047851,51,0,0.468621,7357.0,7,0,2,0,2.0
34,0,0.141574,37,0,1.402723,3187.0,9,98,0,0,
35,1,0.193648,63,0,0.462668,1010.0,5,0,0,2,1.0
36,0,0.489329,34,0,1.642088,3307.0,8,0,0,0,2.0
37,0,0.279961,54,0,1.650864,,11,0,1,0,1.0
38,1,0.205046,24,98,0.301243,3826.0,10,0,0,0,1.0
39,0,0.180299,33,0,1.476863,,7,0,2,0,1.0
40,0,0.623872,54,0,1.139302,24065.0,13,0,0,0,3.0
41,0,0.132003,62,0,0.496483,5425.0,7,0,0,0,0.0
42,0,0.029453,54,0,2.549126,4132.0,7,0,1,0,
43,0,0.45499,50,0,0.131286,3994.0,4,0,3,0,1.0
44,0,0.219618,47,0,0.361289,5428.0,11,0,0,0,0.0
45,1,8.254683,31,0,2.456333,2533.0,7,0,1,0,0.0
46,0,0.158956,41,0,0.754362,5410.0,8,0,3,0,0.0
47,1,0.288596,45,0,0.51501,7049.0,7,0,0,0,1.0
48,0,0.429946,66,0,0.438259,5812.0,10,0,0,0,0.0
49,0,0.423952,56,0,0.233465,7087.0,6,0,2,0,1.0
50,0,0.347006,27,2,3.186945,6953.0,9,0,1,0,1.0
51,0,0.484868,56,0,0.756448,,8,0,1,0,1.0
52,0,0.128477,46,0,0.632356,8180.0,7,0,0,0,1.0
53,0,0.023554,42,0,2.275122,2873.0,9,0,1,96,1.0
54,0,0.524407,60,0,2.314403,2045.0,9,0,0,0,0.0
